route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
147-203,Weekday-1,1001-14701-21000-2-6e698bd2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-21600-2-8e6a272f,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-22800-2-9cc956ca,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-23400-2-8e6a272f,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-24600-2-9cc956ca,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-25200-2-8e6a272f,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-26400-2-9cc956ca,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-27000-2-8e6a272f,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-28200-2-9cc956ca,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-28800-2-8e6a272f,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-30000-2-5b6ea1d8,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-30600-2-6f32eea7,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-31800-2-5b6ea1d8,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-32400-2-6f32eea7,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-33600-2-5b6ea1d8,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-34200-2-9391f0a2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-35400-2-c92c7080,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-36000-2-9391f0a2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-37200-2-c92c7080,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-37800-2-039234e2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-39000-2-c92c7080,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-39600-2-039234e2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-40800-2-c92c7080,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-41400-2-039234e2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-42600-2-c92c7080,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-43200-2-039234e2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-44400-2-c92c7080,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-45000-2-039234e2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-46200-2-c92c7080,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-46800-2-039234e2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-48000-2-c92c7080,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-48600-2-039234e2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-49800-2-c92c7080,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-50400-2-039234e2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-51600-2-c92c7080,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-52200-2-039234e2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-53400-2-5b6ea1d8,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-54000-2-039234e2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-55200-2-5b6ea1d8,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-55800-2-9391f0a2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-57000-2-986ab153,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-57600-2-9391f0a2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-58800-2-986ab153,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-59400-2-9391f0a2,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-60600-2-986ab153,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-61200-2-6f32eea7,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekday-1,1001-14701-62400-2-986ab153,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
147-203,Weekend-1,1001-14701-63000-2-6f32eea7,Waitakere Township To Henderson,,0,,1001-14701-5b92fb16,0,0
